OBJECTID,PA_ID,PA_PID,NAME,TYPE,TYPE_ABBR,IUCN,NRS_PA,NRS_MPA,GAZ_AREA,GIS_AREA,GAZ_DATE,LATEST_GAZ,STATE,AUTHORITY,DATASOURCE,GOVERNANCE,COMMENTS,ENVIRON,OVERLAP,MGT_PLAN,RES_NUMBER,ZONE_TYPE,EPBC,LONGITUDE,LATITUDE,PA_SYSTEM,Shape__Area,Shape__Length
15672,QLD_NR3678,QLD_NR3678,Gumnut Park,Nature Refuge,NREF,VI,Y,,16.32,16.34469018,2011/06/17 00:00:00+00,2021/12/10 00:00:00+00,QLD,QLD_DES,QLD_DES,P,PA_ID/PA_PID based on old Reserve Number.,T,1,N,PA1100,,Private,152.73667096,-26.64420535,NRS,1.4816240538866e-05,0.0322420478789545
15673,VIC_1352,VIC_1352,Wewin B.R.,Natural Features Reserve,NFR,IV,Y,,150.34,150.25960215,1990/05/08 00:00:00+00,2015/05/05 00:00:00+00,VIC,VIC_DEECA,VIC_DEECA,G,,T,1,N,1352,,State,143.1469904,-35.34057265,NRS,0.000148977066655343,0.0530676631749082
15675,TAS_50186,TAS_50186,Wayatinah Lagoon,Conservation Area,CA,V,Y,,0,1331.05396538,1959/04/22 00:00:00+00,1999/04/30 00:00:00+00,TAS,TAS_HYDRO,NRE_TAS,G,,T,1,N,TAS50186,,State,146.51587597,-42.3888837,NRS,0.00145574726224655,0.304683626722778
15676,VIC_1857,VIC_1857,Big One Dam B.R.,Natural Features Reserve,NFR,IV,Y,,22.385,22.38820454,1987/09/22 00:00:00+00,2004/03/16 00:00:00+00,VIC,VIC_DEECA,VIC_DEECA,G,,T,1,N,1857,,State,141.84846785,-36.28044829,NRS,2.2456915401407e-05,0.0189723361743129
15678,TAS_50744,TAS_50744_m,Ocean Beach,Conservation Area,CA,V,Y,,0,0.02556738,2011/09/07 00:00:00+00,2011/09/07 00:00:00+00,TAS,NRE_TAS,NRE_TAS,G,CLAC,B,1,N,TAS50744,,State,145.21620225,-42.20854771,NRS,2.7873248879e-08,0.000737606781475088
15679,WA_19210,WA_19210,Chiddarcooping,Nature Reserve,NR,Ia,Y,,5262.3823,5300.18424008,1926/04/23 00:00:00+00,1983/10/21 00:00:00+00,WA,WA_DBCA,WA_DBCA,G,,T,1,I,WA19210,,State,118.65750818,-30.90329357,NRS,0.0050010348843235,0.525288081900322
15680,SA_1635,SA_1635,Unnamed (No.HA1635),Heritage Agreement,HA,III,Y,,8.57437012,8.59370675,2021/11/09 00:00:00+00,2021/11/09 00:00:00+00,SA,SA_DEW,SA_DEW,P,,T,1,N,SA_1635,,State,138.89069212,-34.94384249,NRS,8.479785894969e-06,0.0135349173139795
15681,TAS_13516,TAS_13516,Hazelwood  (Carlton River),Conservation Covenant,ACCP,IV,Y,,0,32.32505727,2010/12/06 00:00:00+00,2010/12/06 00:00:00+00,TAS,TAS_PRIV,NRE_TAS,P,FCF,T,1,M,TAS13516,,Private,147.76715362,-42.79518079,NRS,3.55671671735235e-05,0.0611979092233915
15683,WA_26259,WA_26259,Carlyarn,Nature Reserve,NR,Ia,Y,,2722.725,2596.09607947,1962/04/06 00:00:00+00,1974/07/12 00:00:00+00,WA,WA_DBCA,WA_DBCA,G,,T,1,I,WA26259,,State,117.46131283,-30.05206956,NRS,0.00242801937721309,0.457845804865951
15688,TAS_50723,TAS_50723,Kangaroo Island,Conservation Area,CA,V,Y,,0,170.03274126,2011/08/03 00:00:00+00,2011/08/03 00:00:00+00,TAS,NRE_TAS,NRE_TAS,G,CLAC,B,1,N,TAS50723,,State,144.83291945,-40.69636055,NRS,0.000181160758687518,0.0516629936235835
15689,VIC_3457,VIC_3457,Morkalla,Reference Area,RA,Ia,Y,,0,991.49390531,1996/07/11 00:00:00+00,1996/07/11 00:00:00+00,VIC,VIC_DEECA,VIC_DEECA,G,,T,2,M,3457,,State,141.11480164,-34.413672,NRS,0.00097221621463735,0.125978881767594
15690,TAS_20450,TAS_20450_b,Valleyfield,Conservation Covenant,ACCP,IV,Y,,0,3.74277029,2003/08/08 00:00:00+00,2003/08/08 00:00:00+00,TAS,TAS_PRIV,NRE_TAS,P,PFRP,T,1,M,TAS20450,,Private,147.31035018,-41.78694316,NRS,4.053781133581e-06,0.00842494016601356
