IBRA Region Code,IBRA Subregion Name,IBRA Subregion Code,Jurisdictions,Jurisdiction(s) with Protected Area(s),Subregion Area (ha),Area Protected (ha),% IBRA Subregion Protected,Contribution to NRS (%)
STP,Witjira,STP06,"NT,SA",SA,1677111.00,556720.00,33.2,0.32
SYB,Wollemi,SYB04,NSW,NSW,687622.00,529937.00,77.07,0.31
NET,Wongwibinda Plateau,NET05,NSW,NSW,106929.00,20518.00,19.19,0.01
SEQ,Woodenbong,SEQ11,"NSW,QLD",NSW,325630.00,46981.00,14.43,0.03
GUP,Woondoola Plains,GUP03,QLD,-,2375110.00, -   ,0,0
BBS,Woorabinda,BBS02,QLD,QLD,749785.00,59611.00,7.95,0.03
CAR,Wooramel,CAR02,WA,WA,6049674.00,794314.00,13.13,0.46
BBN,Wyarra Hills,BBN05,QLD,-,397935.00, -   ,0,0
TAN,Wycliffe,TAN02,NT,-,1600893.00, -   ,0,0
SYB,Wyong,SYB06,NSW,NSW,211494.00,35420.00,16.75,0.02
NUL,Yalata,NUL03,SA,SA,1148966.00,895238.00,77.92,0.52
NET,Yarrowyck-Kentucky Downs,NET13,NSW,NSW,65135.00,387.00,0.59,0
GVD,Yellabinna,GVD06,SA,SA,4828389.00,2651503.00,54.91,1.53
SYB,Yengo,SYB05,NSW,NSW,461327.00,277211.00,60.09,0.16
BRT,Yuendumu,BRT01,NT,NT,2931061.00,361519.00,12.33,0.21
NNC,Yuraygir,NNC05,NSW,NSW,45815.00,32751.00,71.48,0.02
Total,,,,,768928319.00,173296651.00,22.54,100
Area of Australia (ha),"768,828,859",,,,,,,
