"Supplied Name","verbatimScientificName","vernacularName","rawFamily","sourceStatus","status","IUCN_equivalent_status","taxonRank","guid","scientificName","genus","family","order","class","phylum","kingdom","vernacularName","matchType","nameType"
"Litoria kroombitensis","Litoria kroombitensis","Kroombit Treefrog","Pelodryadidae","Critically Endangered","Critically Endangered","Critically Endangered","","https://biodiversity.org.au/afd/taxa/0ae46629-cb16-4298-9ce0-1d2dddcf71a1","Litoria kroombitensis","Litoria","Pelodryadidae","Anura","Amphibia","Chordata","Animalia","Kroombit Treefrog","exactMatch",
"Samadera bidwillii","Samadera bidwillii","Quassia","Simaroubaceae","Vulnerable","Vulnerable","Vulnerable","","https://id.biodiversity.org.au/node/apni/2902902","Samadera bidwillii","Samadera","Simaroubaceae","Sapindales","Equisetopsida","Charophyta","Plantae","Quassia","exactMatch",
"Prasophyllum petilum","Prasophyllum petilum","Tarengo Leek Orchid","Orchidaceae","Endangered","Endangered","Endangered","","https://id.biodiversity.org.au/taxon/apni/51795236","Prasophyllum petilum","Prasophyllum","Orchidaceae","Asparagales","Equisetopsida","Charophyta","Plantae","Tarengo Leek Orchid","exactMatch",
"Sagina diemensis","Sagina diemensis","Tasmanian Pearlwort","Caryophyllaceae","Endangered","Endangered","Endangered","","https://id.biodiversity.org.au/node/apni/2890463","Sagina diemensis","Sagina","Caryophyllaceae","Caryophyllales","Equisetopsida","Charophyta","Plantae","Tasmanian Pearlwort","exactMatch",
"Ristantia gouldii","Ristantia gouldii","-","Myrtaceae","Vulnerable","Vulnerable","Vulnerable","","https://id.biodiversity.org.au/taxon/apni/51290305","Ristantia gouldii","Ristantia","Myrtaceae","Myrtales","Equisetopsida","Charophyta","Plantae",,"exactMatch",
"Goodenia integerrima","Goodenia integerrima","Gypsum Goodenia","Goodeniaceae","Vulnerable","Vulnerable","Vulnerable","","https://id.biodiversity.org.au/node/apni/2901142","Goodenia integerrima","Goodenia","Goodeniaceae","Asterales","Equisetopsida","Charophyta","Plantae","Gypsum Goodenia","exactMatch",
"Lepidorrhachis mooreana","Lepidorrhachis mooreana","Little Mountain Palm, Moorei Palm","Arecaceae","Critically Endangered","Critically Endangered","Critically Endangered","","https://id.biodiversity.org.au/taxon/apni/51431337","Lepidorrhachis mooreana","Lepidorrhachis","Arecaceae","Arecales","Equisetopsida","Charophyta","Plantae","Little Mountain Palm","exactMatch",
"Phebalium daviesii","Phebalium daviesii","Davies' Waxflower, St Helens Waxflower","Rutaceae","Critically Endangered","Critically Endangered","Critically Endangered","","https://id.biodiversity.org.au/node/apni/2897721","Phebalium daviesii","Phebalium","Rutaceae","Sapindales","Equisetopsida","Charophyta","Plantae","St Helens Waxflower","exactMatch",
"Acacia pycnostachya","Acacia pycnostachya","Bolivia Wattle","Fabaceae","Vulnerable","Vulnerable","Vulnerable","","https://id.biodiversity.org.au/node/apni/2897696","Acacia pycnostachya","Acacia","Fabaceae","Fabales","Equisetopsida","Charophyta","Plantae","Bolivia Wattle","exactMatch",
"Zehneria baueriana","Zehneria baueriana","Native Cucumber, Giant Cucumber","Cucurbitaceae","Endangered","Endangered","Endangered","","https://id.biodiversity.org.au/node/apni/2919691","Zehneria baueriana","Zehneria","Cucurbitaceae","Cucurbitales","Equisetopsida","Charophyta","Plantae","Giant Cucumber","exactMatch",
"Calidris canutus","Calidris canutus","Red Knot, Knot","Scolopacidae","Vulnerable","Vulnerable","Vulnerable","","https://biodiversity.org.au/afd/taxa/e2b8086f-fb5a-41ac-9003-d9aed827dfe3","Calidris (Calidris) canutus","Calidris","Scolopacidae","Charadriiformes","Aves","Chordata","Animalia","Red Knot","exactMatch",
