"Supplied Name","verbatimScientificName","vernacularName","rawFamily","sourceStatus","status","IUCN_equivalent_status","taxonRank","guid","scientificName","genus","family","order","class","phylum","kingdom","vernacularName","matchType","nameType"
"Eucalyptus boliviana","Eucalyptus boliviana","Bolivia Stringybark, Bolivia Hill Stringybark","Myrtaceae","Critically Endangered","Critically Endangered","Critically Endangered","","https://id.biodiversity.org.au/node/apni/2906667","Eucalyptus boliviana","Eucalyptus","Myrtaceae","Myrtales","Equisetopsida","Charophyta","Plantae","Bolivia Stringybark","exactMatch",
"Delma vescolineata","Delma vescolineata","Hunter Valley Delma","Pygopodidae","Endangered","Endangered","Endangered","","https://biodiversity.org.au/afd/taxa/2a4bcc53-5e3e-4583-ab87-1c09baac1933","Delma vescolineata","Delma","Pygopodidae","Squamata","Reptilia","Chordata","Animalia","Hunter Valley Delma","exactMatch",
"Rostratula australis","Rostratula australis","Australian Painted Snipe","Rostratulidae","Endangered","Endangered","Endangered","","https://biodiversity.org.au/afd/taxa/0e647393-fbcb-470a-994f-068aebecfceb","Rostratula australis","Rostratula","Rostratulidae","Charadriiformes","Aves","Chordata","Animalia","Australian Painted Snipe","exactMatch",
"Euastacus sp. 1 coughrani (McCormack & Fetzner)","Euastacus sp. 1 coughrani (McCormack & Fetzner)","Coughran's Crayfish, Arte Spiny Crayfish","Parastacidae","Endangered","Endangered","Endangered","","ALA_DR30474_151","Euastacus coughrani","Euastacus","Parastacidae","Decapoda","Malacostraca","Arthropoda","Animalia",,"exactMatch",
"Tylophora rupicola","Tylophora rupicola","-","Apocynaceae","Endangered","Endangered","Endangered","","https://id.biodiversity.org.au/taxon/apni/51431191","Vincetoxicum rupicola","Vincetoxicum","Apocynaceae","Gentianales","Equisetopsida","Charophyta","Plantae",,"exactMatch",
"Lordhowea pilosicrista","Lordhowea pilosicrista","Tall Yellow-top","Asteraceae","Endangered","Endangered","Endangered","","https://id.biodiversity.org.au/taxon/apni/51744741","Lordhowea pilosicrista","Lordhowea","Asteraceae","Asterales","Equisetopsida","Charophyta","Plantae",,"exactMatch",
"Allocasuarina tortiramula","Allocasuarina tortiramula","Twisted Sheoak","Casuarinaceae","Vulnerable","Vulnerable","Vulnerable","","https://id.biodiversity.org.au/node/apni/2897796","Allocasuarina tortiramula","Allocasuarina","Casuarinaceae","Fagales","Equisetopsida","Charophyta","Plantae","Twisted Sheoak","exactMatch",
"Prototroctes maraena","Prototroctes maraena","Australian Grayling","Retropinnidae","Vulnerable","Vulnerable","Vulnerable","","https://biodiversity.org.au/afd/taxa/8cd45a27-ba23-4dbc-b9be-d10ef2269b27","Prototroctes maraena","Prototroctes","Retropinnidae","Salmoniformes","Actinopterygii","Chordata","Animalia","Australian Grayling","exactMatch",
"Pityrodia sp. Marble Bar (G.Woodman & D.Coultas GWDC Opp 4)","Pityrodia sp. Marble Bar (G.Woodman & D.Coultas GWDC Opp 4)","-","Lamiaceae","Endangered","Endangered","Endangered","","https://id.biodiversity.org.au/taxon/apni/51775092","Quoya zonalis","Quoya","Lamiaceae","Lamiales","Equisetopsida","Charophyta","Plantae","Pilbara Foxglove","exactMatch",
"Cophixalus concinnus","Cophixalus concinnus","Elegant Frog","Microhylidae","Critically Endangered","Critically Endangered","Critically Endangered","","https://biodiversity.org.au/afd/taxa/42d29ac1-30bc-4420-a0f4-b10e888398e5","Cophixalus concinnus","Cophixalus","Microhylidae","Anura","Amphibia","Chordata","Animalia","Beautiful Nursery Frog","exactMatch",
"Pachycephala rufogularis","Pachycephala rufogularis","Red-lored Whistler","Pachycephalidae","Vulnerable","Vulnerable","Vulnerable","","https://biodiversity.org.au/afd/taxa/bc33a603-3b2b-44d3-a5d7-12485e4533c7","Pachycephala (Timixos) rufogularis","Pachycephala","Pachycephalidae","Passeriformes","Aves","Chordata","Animalia","Red-lored Whistler","exactMatch",
"Allocasuarina thalassoscopica","Allocasuarina thalassoscopica","-","Casuarinaceae","Endangered","Endangered","Endangered","","https://id.biodiversity.org.au/taxon/apni/51752667","Allocasuarina thalassoscopica","Allocasuarina","Casuarinaceae","Fagales","Equisetopsida","Charophyta","Plantae","Mt. Coolum She-oak","exactMatch",
"Mirafra javanica melvillensis","Mirafra javanica melvillensis","Horsfield's Bushlark (Tiwi Islands)","Alaudidae","Vulnerable","Vulnerable","Vulnerable","","https://biodiversity.org.au/afd/taxa/9870b898-1858-464f-9a0f-39530a4a42ec","Mirafra (Mirafra) javanica melvillensis","Mirafra","Alaudidae","Passeriformes","Aves","Chordata","Animalia","Tiwi Horsfield's Bushlark","exactMatch",
"Caladenia hoffmanii","Caladenia hoffmanii","Hoffman's Spider-orchid","Orchidaceae","Endangered","Endangered","Endangered","","https://id.biodiversity.org.au/taxon/apni/51399084","Caladenia hoffmanii","Caladenia","Orchidaceae","Asparagales","Equisetopsida","Charophyta","Plantae","Hoffman's Spider Orchid","exactMatch",
"Olax angulata","Olax angulata","Minnie Waters Olax","Olacaceae","Vulnerable","Vulnerable","Vulnerable","","https://id.biodiversity.org.au/node/apni/2911168","Olax angulata","Olax","Olacaceae","Santalales","Equisetopsida","Charophyta","Plantae","Square-stemmed Olax","exactMatch",
"Galaxias sp. nov. 'Morwell'","Galaxias sp. nov. 'Morwell'","Morwell Galaxias","Galaxiidae","Critically Endangered","Critically Endangered","Critically Endangered","","ALA_DR30474_2300","Galaxias sp. nov. 'Morwell'","Galaxias","Galaxiidae","Salmoniformes","Actinopterygii","Chordata","Animalia",,"exactMatch",
"Guichenotia seorsiflora","Guichenotia seorsiflora","-","Malvaceae","Critically Endangered","Critically Endangered","Critically Endangered","","https://id.biodiversity.org.au/node/apni/2916835","Guichenotia seorsiflora","Guichenotia","Malvaceae","Malvales","Equisetopsida","Charophyta","Plantae",,"exactMatch",
"Hakea trineura","Hakea trineura","Three-veined Hakea","Proteaceae","Vulnerable","Vulnerable","Vulnerable","","https://id.biodiversity.org.au/node/apni/2914877","Hakea trineura","Hakea","Proteaceae","Proteales","Equisetopsida","Charophyta","Plantae","Threeveined Hakea","exactMatch",
"Prostanthera stricta","Prostanthera stricta","Mount Vincent Mintbush","Lamiaceae","Vulnerable","Vulnerable","Vulnerable","","https://id.biodiversity.org.au/node/apni/2920105","Prostanthera stricta","Prostanthera","Lamiaceae","Lamiales","Equisetopsida","Charophyta","Plantae","Mount Vincent Mint-bush","exactMatch",
"Calidris tenuirostris","Calidris tenuirostris","Great Knot","Scolopacidae","Vulnerable","Vulnerable","Vulnerable","","https://biodiversity.org.au/afd/taxa/3e9c17c9-270f-4a74-9ed8-7ccabd575be9","Calidris (Calidris) tenuirostris","Calidris","Scolopacidae","Charadriiformes","Aves","Chordata","Animalia","Great Knot","exactMatch",
"Philoria pughi","Philoria pughi","Pugh's Sphagnum Frog","Limnodynastidae","Endangered","Endangered","Endangered","","https://biodiversity.org.au/afd/taxa/02542d2e-ee7e-45ba-b960-0e379d994d4c","Philoria pughi","Philoria","Limnodynastidae","Anura","Amphibia","Chordata","Animalia","Pugh's Frog","exactMatch",
"Cupaniopsis shirleyana","Cupaniopsis shirleyana","Wedge-leaf Tuckeroo","Sapindaceae","Vulnerable","Vulnerable","Vulnerable","","https://id.biodiversity.org.au/node/apni/2896632","Cupaniopsis shirleyana","Cupaniopsis","Sapindaceae","Sapindales","Equisetopsida","Charophyta","Plantae","Wedgeleaf Tuckeroo","exactMatch",
"Darwinia chapmaniana","Darwinia chapmaniana","Chapman's Bell","Myrtaceae","Endangered","Endangered","Endangered","","https://id.biodiversity.org.au/node/apni/2910553","Darwinia chapmaniana","Darwinia","Myrtaceae","Myrtales","Equisetopsida","Charophyta","Plantae","Chapman's Bell","exactMatch",
"Lissolepis coventryi","Lissolepis coventryi","Swamp Skink, Eastern Mourning Skink","Scincidae","Endangered","Endangered","Endangered","","https://biodiversity.org.au/afd/taxa/6f5059d5-4afb-4b6e-abe1-2c719d26916c","Lissolepis coventryi","Lissolepis","Scincidae","Squamata","Reptilia","Chordata","Animalia","Eastern Mourning Skink","exactMatch",
"Cycas ophiolitica","Cycas ophiolitica","-","Cycadaceae","Endangered","Endangered","Endangered","","https://id.biodiversity.org.au/node/apni/2914888","Cycas ophiolitica","Cycas","Cycadaceae","Cycadales","Equisetopsida","Charophyta","Plantae","Marlborough Blue","exactMatch",
"Amytornis striatus striatus","Amytornis striatus striatus","Mukarrthippi Grasswren, Striated Grasswren (sandplain)","Maluridae","Critically Endangered","Critically Endangered","Critically Endangered","","https://biodiversity.org.au/afd/taxa/5ac4e4f2-e862-4e12-a053-bc6d1604c1de","Amytornis (Magnamytis) striatus striatus","Amytornis","Maluridae","Passeriformes","Aves","Chordata","Animalia","Mukarrthippi Grasswren","exactMatch",
"Thelymitra cyanapicata","Thelymitra cyanapicata","Blue Top Sun-orchid, Dark-tipped Sun-orchid","Orchidaceae","Critically Endangered","Critically Endangered","Critically Endangered","","https://id.biodiversity.org.au/taxon/apni/51414268","Thelymitra cyanapicata","Thelymitra","Orchidaceae","Asparagales","Equisetopsida","Charophyta","Plantae","Darktipped Sunorchid","exactMatch",
"Aplonis fusca","Aplonis fusca","Tasman Starling","Sturnidae","Extinct","Extinct","Extinct","","https://biodiversity.org.au/afd/taxa/268dc9ad-899c-4355-9702-a1493d3e0a22","Aplonis (Aplonis) fusca","Aplonis","Sturnidae","Passeriformes","Aves","Chordata","Animalia","Tasman Starling","exactMatch",
"Grevillea corrugata","Grevillea corrugata","a shrub","Proteaceae","Endangered","Endangered","Endangered","","https://id.biodiversity.org.au/node/apni/2887155","Grevillea corrugata","Grevillea","Proteaceae","Proteales","Equisetopsida","Charophyta","Plantae","A Shrub","exactMatch",
"Diospyros mabacea","Diospyros mabacea","Red-fruited Ebony, Silky Persimmon, Ebony","Ebenaceae","Endangered","Endangered","Endangered","","https://id.biodiversity.org.au/node/apni/7174977","Diospyros mabacea","Diospyros","Ebenaceae","Ericales","Equisetopsida","Charophyta","Plantae","Redfruited Ebony","exactMatch",
"Hibbertia humifusa subsp. debilis","Hibbertia humifusa subsp. debilis","Dergholm Guinea-flower","Dilleniaceae","Vulnerable","Vulnerable","Vulnerable","","https://id.biodiversity.org.au/node/apni/2890767","Hibbertia humifusa subsp. debilis","Hibbertia","Dilleniaceae",,"Equisetopsida","Charophyta","Plantae","Dergholm Guinea-flower","exactMatch",
"Hibbertia superans","Hibbertia superans","-","Dilleniaceae","Critically Endangered","Critically Endangered","Critically Endangered","","https://id.biodiversity.org.au/node/apni/2910589","Hibbertia superans","Hibbertia","Dilleniaceae",,"Equisetopsida","Charophyta","Plantae",,"exactMatch",
"Dendrobium nindii","Dendrobium nindii","an orchid","Orchidaceae","Endangered","Endangered","Endangered","","https://id.biodiversity.org.au/taxon/apni/51402888","Dendrobium nindii","Dendrobium","Orchidaceae","Asparagales","Equisetopsida","Charophyta","Plantae","An Orchid","exactMatch",
"Antechinus minimus maritimus","Antechinus minimus maritimus","Swamp Antechinus (mainland)","Dasyuridae","Vulnerable","Vulnerable","Vulnerable","","https://biodiversity.org.au/afd/taxa/c6f58e96-49d4-462e-a104-b1933b3cc4a6","Antechinus minimus maritimus","Antechinus","Dasyuridae","Dasyuromorphia","Mammalia","Chordata","Animalia","Swamp Antechinus","exactMatch",
"Prostanthera nudula","Prostanthera nudula","Mount Illbilie Mintbush","Lamiaceae","Vulnerable","Vulnerable","Vulnerable","","https://id.biodiversity.org.au/node/apni/2895608","Prostanthera nudula","Prostanthera","Lamiaceae","Lamiales","Equisetopsida","Charophyta","Plantae","Mount Illbillee Mintbush","exactMatch",
"Hakea dohertyi","Hakea dohertyi","Kowmung Hakea","Proteaceae","Critically Endangered","Critically Endangered","Critically Endangered","","https://id.biodiversity.org.au/node/apni/2901532","Hakea dohertyi","Hakea","Proteaceae","Proteales","Equisetopsida","Charophyta","Plantae","Kowmung Hakea","exactMatch",
"Lasiorhinus krefftii","Lasiorhinus krefftii","Northern Hairy-nosed Wombat, Yaminon","Vombatidae","Critically Endangered","Critically Endangered","Critically Endangered","","https://biodiversity.org.au/afd/taxa/45c7ea7a-9dd0-4be0-a043-fe6d640c4f02","Lasiorhinus krefftii","Lasiorhinus","Vombatidae","Diprotodontia","Mammalia","Chordata","Animalia","Northern Hairy-nosed Wombat","exactMatch",
"Eucalyptus scoparia","Eucalyptus scoparia","Wallangarra White Gum, Willow Gum","Myrtaceae","Vulnerable","Vulnerable","Vulnerable","","https://id.biodiversity.org.au/node/apni/2913806","Eucalyptus scoparia","Eucalyptus","Myrtaceae","Myrtales","Equisetopsida","Charophyta","Plantae","Wallangarra White Gum","exactMatch",
"Boehmeria australis subsp. australis","Boehmeria australis subsp. australis","Tree Nettle, Nettletree","Urticaceae","Critically Endangered","Critically Endangered","Critically Endangered","","https://id.biodiversity.org.au/taxon/apni/51661998","Pouzolzia australis","Pouzolzia","Urticaceae","Rosales","Equisetopsida","Charophyta","Plantae",,"exactMatch",
"Leionema equestre","Leionema equestre","Kangaroo Island Phebalium","Rutaceae","Endangered","Endangered","Endangered","","https://id.biodiversity.org.au/node/apni/2902476","Leionema equestre","Leionema","Rutaceae","Sapindales","Equisetopsida","Charophyta","Plantae","Kangaroo Island Phebalium","exactMatch",
"Ptilotus beckerianus","Ptilotus beckerianus","Ironstone Mulla Mulla","Amaranthaceae","Vulnerable","Vulnerable","Vulnerable","","https://id.biodiversity.org.au/taxon/apni/51735752","Ptilotus beckerianus","Ptilotus","Amaranthaceae","Caryophyllales","Equisetopsida","Charophyta","Plantae","Ironstone Mulla Mulla","exactMatch",
"Plesioneuron tuberculatum","Plesioneuron tuberculatum","-","Thelypteridaceae","Endangered","Endangered","Endangered","","https://id.biodiversity.org.au/node/apni/2887072","Plesioneuron tuberculatum","Plesioneuron","Thelypteridaceae","Polypodiales","Equisetopsida","Charophyta","Plantae",,"exactMatch",
"Aristida annua","Aristida annua","-","Poaceae","Vulnerable","Vulnerable","Vulnerable","","https://id.biodiversity.org.au/node/apni/2916519","Aristida annua","Aristida","Poaceae","Poales","Equisetopsida","Charophyta","Plantae",,"exactMatch",
"Eucalyptus virens","Eucalyptus virens","-","Myrtaceae","Vulnerable","Vulnerable","Vulnerable","","https://id.biodiversity.org.au/node/apni/2901683","Eucalyptus virens","Eucalyptus","Myrtaceae","Myrtales","Equisetopsida","Charophyta","Plantae","Shiny-leaved Ironbark","exactMatch",
"Prasophyllum secutum","Prasophyllum secutum","Northern Leek-orchid","Orchidaceae","Endangered","Endangered","Endangered","","https://id.biodiversity.org.au/taxon/apni/51795288","Prasophyllum secutum","Prasophyllum","Orchidaceae","Asparagales","Equisetopsida","Charophyta","Plantae","Northern Leekorchid","exactMatch",
"Picris evae","Picris evae","Hawkweed","Asteraceae","Vulnerable","Vulnerable","Vulnerable","","https://id.biodiversity.org.au/node/apni/2887141","Picris evae","Picris","Asteraceae","Asterales","Equisetopsida","Charophyta","Plantae","Hawkweed","exactMatch",
"Diuris micrantha","Diuris micrantha","Dwarf Bee-orchid","Orchidaceae","Vulnerable","Vulnerable","Vulnerable","","https://id.biodiversity.org.au/taxon/apni/51404263","Diuris micrantha","Diuris","Orchidaceae","Asparagales","Equisetopsida","Charophyta","Plantae","Dwarf Bee Orchid","exactMatch",
"Grevillea jephcottii","Grevillea jephcottii","Pine Mountain Grevillea, Green Grevillea","Proteaceae","Endangered","Endangered","Endangered","","https://id.biodiversity.org.au/node/apni/2912421","Grevillea jephcottii","Grevillea","Proteaceae","Proteales","Equisetopsida","Charophyta","Plantae","Pine Mountain Grevillea","exactMatch",
"Lagostrophus fasciatus albipilis","Lagostrophus fasciatus albipilis","Banded Hare-wallaby (mainland)","Macropodidae","Extinct","Extinct","Extinct","","ALA_DR30474_1306","Lagostrophus fasciatus albipilis","Lagostrophus","Macropodidae","Diprotodontia","Mammalia","Chordata","Animalia","Banded Hare-wallaby","exactMatch",
"Amphibromus whitei","Amphibromus whitei","-","Poaceae","Extinct","Extinct","Extinct","","https://id.biodiversity.org.au/node/apni/2894358","Amphibromus whitei","Amphibromus","Poaceae","Poales","Equisetopsida","Charophyta","Plantae","Swamp Wallaby Grass","exactMatch",
"Boronia keysii","Boronia keysii","Key's Boronia","Rutaceae","Vulnerable","Vulnerable","Vulnerable","","https://id.biodiversity.org.au/node/apni/2896699","Boronia keysii","Boronia","Rutaceae","Sapindales","Equisetopsida","Charophyta","Plantae","Key's Boronia","exactMatch",
"Isopogon robustus","Isopogon robustus","Robust Coneflower","Proteaceae","Critically Endangered","Critically Endangered","Critically Endangered","","https://id.biodiversity.org.au/node/apni/2900097","Isopogon robustus","Isopogon","Proteaceae","Proteales","Equisetopsida","Charophyta","Plantae","Robust Coneflower","exactMatch",
"Goodenia quadrifida","Goodenia quadrifida","-","Goodeniaceae","Vulnerable","Vulnerable","Vulnerable","","https://id.biodiversity.org.au/node/apni/2897447","Goodenia quadrifida","Goodenia","Goodeniaceae","Asterales","Equisetopsida","Charophyta","Plantae","Goodenia","exactMatch",
"Paralucia spinifera","Paralucia spinifera","Bathurst Copper Butterfly, Purple Copper Butterfly, Bathurst Copper, Bathurst Copper Wing, Bathurst-Lithgow Copper, Purple Copper","Lycaenidae","Vulnerable","Vulnerable","Vulnerable","","https://biodiversity.org.au/afd/taxa/038c39ed-1c57-4943-9528-61fd3c2bb31a","Paralucia spinifera","Paralucia","Lycaenidae","Lepidoptera","Insecta","Arthropoda","Animalia","Bathurst Copper","exactMatch",
"Opercularia acolytantha","Opercularia acolytantha","Esperance Dog Weed","Rubiaceae","Extinct","Extinct","Extinct","","https://id.biodiversity.org.au/node/apni/2906341","Opercularia acolytantha","Opercularia","Rubiaceae","Gentianales","Equisetopsida","Charophyta","Plantae","Esperance Dog Weed","exactMatch",
"Grevillea pythara","Grevillea pythara","Pythara Grevillea","Proteaceae","Endangered","Endangered","Endangered","","https://id.biodiversity.org.au/node/apni/2906018","Grevillea pythara","Grevillea","Proteaceae","Proteales","Equisetopsida","Charophyta","Plantae","Pythara Grevillea","exactMatch",
"Daviesia bursarioides","Daviesia bursarioides","Three Springs Daviesia","Fabaceae","Endangered","Endangered","Endangered","","https://id.biodiversity.org.au/node/apni/2886149","Daviesia bursarioides","Daviesia","Fabaceae","Fabales","Equisetopsida","Charophyta","Plantae","Three Springs Daviesia","exactMatch",
"Eucalyptus aggregata","Eucalyptus aggregata","Black Gum","Myrtaceae","Vulnerable","Vulnerable","Vulnerable","","https://id.biodiversity.org.au/node/apni/2900093","Eucalyptus aggregata","Eucalyptus","Myrtaceae","Myrtales","Equisetopsida","Charophyta","Plantae","Black Gum","exactMatch",
"Banksia paludosa subsp. astrolux","Banksia paludosa subsp. astrolux","a banksia","Proteaceae","Critically Endangered","Critically Endangered","Critically Endangered","","https://id.biodiversity.org.au/node/apni/2894747","Banksia paludosa subsp. astrolux","Banksia","Proteaceae","Proteales","Equisetopsida","Charophyta","Plantae",,"exactMatch",
"Oreixenica ptunarra","Oreixenica ptunarra","Ptunarra Brown, Ptunarra Brown Butterfly, Ptunarra Xenica","Nymphalidae","Endangered","Endangered","Endangered","","https://biodiversity.org.au/afd/taxa/73b5649a-7ce3-4162-8744-db9dad6e35af","Oreixenica ptunarra","Oreixenica","Nymphalidae","Lepidoptera","Insecta","Arthropoda","Animalia","Ptunarra Brown","exactMatch",
"Euphrasia crassiuscula subsp. glandulifera","Euphrasia crassiuscula subsp. glandulifera","Thick Eyebright","Scrophulariaceae","Vulnerable","Vulnerable","Vulnerable","","https://id.biodiversity.org.au/node/apni/2903437","Euphrasia crassiuscula subsp. glandulifera","Euphrasia","Scrophulariaceae","Lamiales","Equisetopsida","Charophyta","Plantae","Thick Eyebright","exactMatch",
"Pterostylis rubenachii","Pterostylis rubenachii","Arthur River Greenhood","Orchidaceae","Endangered","Endangered","Endangered","","https://id.biodiversity.org.au/taxon/apni/51412306","Pterostylis rubenachii","Pterostylis","Orchidaceae","Asparagales","Equisetopsida","Charophyta","Plantae","Arthur River Greenhood","exactMatch",
"Craspedia preminghana","Craspedia preminghana","Preminghana Billybutton","Asteraceae","Endangered","Endangered","Endangered","","https://id.biodiversity.org.au/node/apni/2901265","Craspedia preminghana","Craspedia","Asteraceae","Asterales","Equisetopsida","Charophyta","Plantae","Preminghana Billybutton","exactMatch",
"Thelymitra hygrophila","Thelymitra hygrophila","Blue Star Sun-orchid","Orchidaceae","Critically Endangered","Critically Endangered","Critically Endangered","","https://id.biodiversity.org.au/taxon/apni/51414306","Thelymitra hygrophila","Thelymitra","Orchidaceae","Asparagales","Equisetopsida","Charophyta","Plantae","Blue Star Sun-orchid","exactMatch",
"Acacia chapmanii subsp. australis","Acacia chapmanii subsp. australis","-","Fabaceae","Endangered","Endangered","Endangered","","https://id.biodiversity.org.au/node/apni/2919009","Acacia chapmanii subsp. australis","Acacia","Fabaceae","Fabales","Equisetopsida","Charophyta","Plantae",,"exactMatch",
"Gastrolobium modestum","Gastrolobium modestum","Broad-leaved Gastrolobium","Fabaceae","Vulnerable","Vulnerable","Vulnerable","","https://id.biodiversity.org.au/node/apni/2913323","Gastrolobium modestum","Gastrolobium","Fabaceae","Fabales","Equisetopsida","Charophyta","Plantae","Broadleaved Gastrolobium","exactMatch",
"Nematoceras dienemum","Nematoceras dienemum","Windswept Helmet-orchid","Orchidaceae","Critically Endangered","Critically Endangered","Critically Endangered","","https://id.biodiversity.org.au/taxon/apni/51401037","Corybas dienemus","Corybas","Orchidaceae","Asparagales","Equisetopsida","Charophyta","Plantae","Macquarie Island Helmet Orchid","exactMatch",
"Daviesia discolor","Daviesia discolor","-","Fabaceae","Vulnerable","Vulnerable","Vulnerable","","https://id.biodiversity.org.au/node/apni/2899725","Daviesia discolor","Daviesia","Fabaceae","Fabales","Equisetopsida","Charophyta","Plantae",,"exactMatch",
"Calyptorhynchus lathami halmaturinus","Calyptorhynchus lathami halmaturinus","Kangaroo Island Glossy Black-Cockatoo, Glossy Black-Cockatoo (South Australian)","Cacatuidae","Endangered","Endangered","Endangered","","https://biodiversity.org.au/afd/taxa/3ea16688-8600-4d08-a362-1d5bd33af2aa","Calyptorhynchus (Calyptorhynchus) lathami halmaturinus","Calyptorhynchus","Cacatuidae","Psittaciformes","Aves","Chordata","Animalia","Kangaroo Island Glossy Black-cockatoo","exactMatch",
"Canarium acutifolium","Canarium acutifolium","-","Burseraceae","Vulnerable","Vulnerable","Vulnerable","","https://id.biodiversity.org.au/node/apni/2901022","Canarium acutifolium","Canarium","Burseraceae","Sapindales","Equisetopsida","Charophyta","Plantae",,"exactMatch",
"Euastacus dalagarbe","Euastacus dalagarbe","Mud Gully Crayfish","Parastacidae","Critically Endangered","Critically Endangered","Critically Endangered","","https://biodiversity.org.au/afd/taxa/f59939ed-1c5c-439c-9aa5-971a3e6daa2d","Euastacus dalagarbe","Euastacus","Parastacidae","Decapoda","Malacostraca","Arthropoda","Animalia",,"exactMatch",
"Cheiranthera volubilis","Cheiranthera volubilis","Twining Finger-flower","Pittosporaceae","Vulnerable","Vulnerable","Vulnerable","","https://id.biodiversity.org.au/node/apni/2917952","Cheiranthera volubilis","Cheiranthera","Pittosporaceae","Apiales","Equisetopsida","Charophyta","Plantae","Twining Fingerflower","exactMatch",
"Pseudomys fumeus","Pseudomys fumeus","Smoky Mouse, Konoom","Muridae","Endangered","Endangered","Endangered","","https://biodiversity.org.au/afd/taxa/fffbb38d-6da5-4f88-bb1e-6bf0ef6af1b6","Pseudomys fumeus","Pseudomys","Muridae","Rodentia","Mammalia","Chordata","Animalia","Konoom","exactMatch",
"Eremophila glabra subsp. Scaddan (C.Turley s.n. 10/11/2005)","Eremophila glabra subsp. Scaddan (C.Turley s.n. 10/11/2005)","-","Scrophulariaceae","Critically Endangered","Critically Endangered","Critically Endangered","","https://id.biodiversity.org.au/node/apni/2908854","Eremophila glabra subsp. Scaddan (C.Turley s.n. 10/11/2005)","Eremophila","Scrophulariaceae","Lamiales","Equisetopsida","Charophyta","Plantae",,"exactMatch",
"Homoranthus floydii","Homoranthus floydii","-","Myrtaceae","Vulnerable","Vulnerable","Vulnerable","","https://id.biodiversity.org.au/node/apni/2897848","Homoranthus floydii","Homoranthus","Myrtaceae","Myrtales","Equisetopsida","Charophyta","Plantae",,"exactMatch",
"Epacris grandis","Epacris grandis","Grand Heath, Tall Heath","Epacridaceae","Endangered","Endangered","Endangered","","https://id.biodiversity.org.au/node/apni/2891137","Epacris grandis","Epacris","Ericaceae","Ericales","Equisetopsida","Charophyta","Plantae","Tall Heath","exactMatch",
"Gentiana bredboensis","Gentiana bredboensis","Bredbo Gentian","Gentianaceae","Critically Endangered","Critically Endangered","Critically Endangered","","https://id.biodiversity.org.au/node/apni/2900971","Gentiana bredboensis","Gentiana","Gentianaceae","Gentianales","Equisetopsida","Charophyta","Plantae","Bredbo Gentian","exactMatch",
"Centrolepis pedderensis","Centrolepis pedderensis","Pedder Centrolepis, Pedder Bristlewort","Centrolepidaceae","Endangered","Endangered","Endangered","","https://id.biodiversity.org.au/node/apni/2893783","Centrolepis pedderensis","Centrolepis","Centrolepidaceae","Poales","Equisetopsida","Charophyta","Plantae","Pedder Bristlewort","exactMatch",
"Graptophyllum ilicifolium","Graptophyllum ilicifolium","Holly-leaved Graptophyllum, Mt Blackwood Holly","Acanthaceae","Vulnerable","Vulnerable","Vulnerable","","https://id.biodiversity.org.au/node/apni/2920420","Graptophyllum ilicifolium","Graptophyllum","Acanthaceae","Lamiales","Equisetopsida","Charophyta","Plantae","Holly-leaved Graptophyllum","exactMatch",
"Aristida granitica","Aristida granitica","-","Poaceae","Endangered","Endangered","Endangered","","https://id.biodiversity.org.au/node/apni/2909319","Aristida granitica","Aristida","Poaceae","Poales","Equisetopsida","Charophyta","Plantae",,"exactMatch",
"Ptilotus brachyanthus","Ptilotus brachyanthus","-","Amaranthaceae","Endangered","Endangered","Endangered","","https://id.biodiversity.org.au/node/apni/2899808","Ptilotus brachyanthus","Ptilotus","Amaranthaceae","Caryophyllales","Equisetopsida","Charophyta","Plantae","Ptilotus","exactMatch",
"Helichrysum calvertianum","Helichrysum calvertianum","-","Asteraceae","Vulnerable","Vulnerable","Vulnerable","","https://id.biodiversity.org.au/node/apni/2886207","Helichrysum calvertianum","Helichrysum","Asteraceae","Asterales","Equisetopsida","Charophyta","Plantae","Everlastings","exactMatch",
"Phlegmariurus squarrosus","Phlegmariurus squarrosus","Rock Tassel-fern, Water Tassel-fern","Lycopodiaceae","Critically Endangered","Critically Endangered","Critically Endangered","","https://id.biodiversity.org.au/node/apni/2916196","Phlegmariurus squarrosus","Phlegmariurus","Lycopodiaceae","Lycopodiales","Equisetopsida","Charophyta","Plantae","Water Tassel-fern","exactMatch",
"Caladenia xanthochila","Caladenia xanthochila","Yellow-lip Spider-orchid","Orchidaceae","Endangered","Endangered","Endangered","","https://id.biodiversity.org.au/taxon/apni/51399470","Caladenia xanthochila","Caladenia","Orchidaceae","Asparagales","Equisetopsida","Charophyta","Plantae","Yellow-lip Spider-orchid","exactMatch",
"Diuris lanceolata","Diuris lanceolata","Snake Orchid","Orchidaceae","Endangered","Endangered","Endangered","","https://id.biodiversity.org.au/taxon/apni/51404249","Diuris lanceolata","Diuris","Orchidaceae","Asparagales","Equisetopsida","Charophyta","Plantae","Golden Moths","exactMatch",
"Paragalaxias dissimilis","Paragalaxias dissimilis","Shannon Paragalaxias","Galaxiidae","Vulnerable","Vulnerable","Vulnerable","","https://biodiversity.org.au/afd/taxa/39d7a0d1-5bbf-458d-b7a9-88167ed3aec1","Paragalaxias dissimilis","Paragalaxias","Galaxiidae","Salmoniformes","Actinopterygii","Chordata","Animalia","Shannon Paragalaxias","exactMatch",
